제목,링크,내용
[매거진 서울] <b>나눔카</b>가 나눔했네 - 장애인들에게 6,400만원... ,https://blog.naver.com/m-seoul?Redirect=Log&logNo=222414746629,서울시 나눔카 시민이용 적립금 만원 장애인 코로나 방역품 지원 무더위 장마 속 장애인들 건강지키도록 제습기마스크 배부 서울시 나눔카 사업에 참여하고 있는 카셰어링 업체쏘카 그린카 
[5.11.] 신길지하차도 구조개선 현장답사 / ㈜쏘카 <b>나눔카</b>... ,https://blog.naver.com/ydp2018?Redirect=Log&logNo=221967038900,구민들이 보다 편리하게 나눔카를 대여반환하고 차량공유 서비스가 활성화 될 수 있도록 상호 협력하기로 했습니다 앞으로 나눔과 공유문화 확산으로 주차난 해소에 최선을 다하겠습니다 타지자체 확진자 
언제 어디에서나 그냥 타면 돼, 서울시 <b>나눔카</b>,https://blog.naver.com/kecoprumy?Redirect=Log&logNo=221378032226,바로 나눔카 서비스랍니다 서울시에서 진행하고 있는 나눔카 서비스는 차량을 소유하지 않아도 필요할 때 언제 어디서나 편리하게 운전면허가 있는 서울시에 거주하는 성인이라면 누구나 
오늘의 서울꿀팁 : <b>나눔카</b> 서비스,https://blog.naver.com/haechiseoul?Redirect=Log&logNo=221138945563,언제 어디서나 내 차처럼 나눔카를 이용하세요 성북구 장위동에 거주하고 있는 자녀 명을 둔 다둥이 아빠 이 씨대는 육아 때문에 자가용이 필요할 때가 많지만 자가용을 구매하는 대신 나눔카를 이용하고 
성동구 <b>나눔카</b>, 카 쉐어링(Car Sharing) 서비스,https://blog.naver.com/seongdonggu1?Redirect=Log&logNo=221129998255,나눔카 카쉐어링  서비스에 대해 알고 계세요 나눔카는 차량을 소유하지 않아도 언제 어디서나 내 차처럼 저렴한 비용으로 이용할 수 있도록 공동이용 가능한 차량을 제공하는 카쉐어링 
승용차, 렌트 하지말고 나눔하세요! 서울시 <b>나눔카</b> 배치 신청!,https://blog.naver.com/eunpyeonggu?Redirect=Log&logNo=221592998412,그래서 서울시에서는 나눔카를 추천하고 있습니다 나눔카승용차 공동이용 서비스란 개인이 차량을 소유하지 않아도 필요 시 내 차처럼 공동이용이 가능한 차량을 말하며 차량 이용시간을 사전 예약 후 
친환경정책(에코마일리지&amp;<b>나눔카</b>),https://blog.naver.com/yongsanitv?Redirect=Log&logNo=220060998059,에코마일리지와 나눔카 정책을 오늘 소개해드리겠습니다  먼저 수도꼭지를 튼 채 씻거나 하루 나눔카란 차량을 소유하지 않아도 언제 어디서나 차량을 편리하게 이용할 수 있도록 공동 이용이 
송파구에서 <b>나눔카</b>(쏘카, 그린카) 타보세요,https://blog.naver.com/happysongpa?Redirect=Log&logNo=221652896449,차량을 소유하지 않아도 필요할 때 언제 어디에서나 내차처럼 편리하게 차량을 이용할 수 있는 나눔카 송블지기도 종종 이용하는 나눔카 어떻게 나눔카를 이용하는지 제대로 알려드릴게요ㅇ 그린카 
공유 자동차 서비스! <b>나눔카</b> 서비스,https://blog.naver.com/alicegangnam?Redirect=Log&logNo=220729787616,나눔카 서비스 언제든지 내차처럼 이용할 수 있는 나눔카 알고 계신가요  나눔카 서비스란  개인이 자신의 자동차를 이용하지 않고도 필요할 때 편리하게 이용할 수 있도록 공동이용 가능한 
회사에서 쉽고 빠르게! <b>나눔카</b> 지역공유카 사업 소개 및 신청방법,https://blog.naver.com/120seoulcall?Redirect=Log&logNo=221935548873,나눔카 사업이란 나눔카는 언제 어디서나 차량이 필요할 때 내 차처럼 편리하게 이용할 수 있는 서울시의 차량공유 서비스로현재 나눔카 기 사 업이 진행중이며 쏘카 그린카 딜카 피플카 네 개 사업자와 
서울시 <b>나눔카</b> 차량예약 이용방법 대여 반납 어떻게?,https://blog.naver.com/ssingx27?Redirect=Log&logNo=220973805685,쓰는 나눔카를 소개드리고 싶어요 출처  서울특별시 도시교통본부 버스도 택시도 안 되고 꼭 이런 경우에는 바로 나눔카 서비스를 이용해 보세요 하루 천백 명이 이용하는 나눔카 개인이 
자동차 공유서비스 <b>나눔카</b>!,https://blog.naver.com/gwangjin_b?Redirect=Log&logNo=220793628417,나눔카란 개인이 자신의 자동차를 이용하지 않고도 필요할 때 편리하게 이용할 수 있도록 공동이용 가능한 차량을 제공하는 서비스를 말하는데요 나눔카는 불필요한 자가용 보유와 이용을 
<b>나눔카</b> 사업안내,https://blog.naver.com/gwanak_gu?Redirect=Log&logNo=221531620417,  서울시 제휴 나눔카 사업자  쏘 카    그린카    문의전화  관악구청 교통행정과 
전기차 충전소 ? 그린카 쉐어링 (<b>나눔카</b>) 반납장소 프리존,https://blog.naver.com/leejinhair8188?Redirect=Log&logNo=220504717715,전기차 충전소 알고 보니 그린카 쉐어링 나눔카 반납 장소 프리존 인거같아요 안녕하세요 대림점 일반 충전소가 아니닌 듯 합니다 일단 매장으로 온후 검색을 해보았답니다 그린카 쉐어링 나눔카 
피플카 2019년 공유 서울 <b>나눔카</b> 3기 공식사업자 선정,https://blog.naver.com/peoplecar1?Redirect=Log&logNo=221621418777,피플카 년 공유 서울 나눔카 기 공식사업자 선정 나눔카와 피플카가 만났다 이제 공유의 즐거움을 나눔카와 피플카가 함께합니다 피플카 월의 새로운 소식 년 나눔카 기에 피플카 입성 확정 
공동주택 <b>나눔카</b>(카셰어링) 사업안내,https://blog.naver.com/ddm4you?Redirect=Log&logNo=220750189978, 나눔카카셰어링 란  서울시 승용차공동이용 서비스명  개인이 차량을 소유하지 않아도 필요할 때 내 차처럼 편리하게 사용  아파트 나눔카 주차장에 배치된 승용차를 저렴한 
car-sharing, <b>나눔카</b>를 아시나요?,https://blog.naver.com/junggu4u?Redirect=Log&logNo=220035147079, 나눔카를 아시나요 내차를 살 필요가 없는 이유 경제적인 나눔카가 있기 때문입니다 나눔카란 개인이 자신의 자동차를 이용하지 않고도 언제 어디서나 분 단위로 
더 가까이, 더 편하게! <b>나눔카</b>가 거리에 나왔어요!,https://blog.naver.com/haechiseoul?Redirect=Log&logNo=221168360972,서울시 나눔카가 거리로 나온다 이전까지는 건물 안 부설주차장이나 노외주차장에서만 나눔카를 이용할 수 있었는데요 월 일 목요일 바로 오늘부터 도로 상에 있는 노상주차장에서도 나눔카를 빌릴 수 
공유차량 <b>나눔카</b> (카셰어링) 사업,https://blog.naver.com/geumcheon1?Redirect=Log&logNo=221034952762,경제성과 편리함을 생각한다면 나눔카를 이용하세요  나눔카란   개인이 자신의 자동차를 이용하지 않고도 필요할 때 편리하게 이용할 수 있도록 공동이용 가능한 차량을 제공하는 서비스 
반(反)연비주행 부추기는 ‘<b>나눔카</b>’.,https://blog.naver.com/m_carfe?Redirect=Log&logNo=110169193400,서울시의 승용차 공동이용 서비스 나눔카가 지난 월 일부터 시행됐다 나누다와 카를 조합해 만든 단어로 차를 함께 나눠 사용한다는 뜻을 담고 있는 나눔카 서비스는 현재 서울 시내 
전기차 쉐어링과 서울시 <b>나눔카</b> 서비스,https://blog.naver.com/kescomiri?Redirect=Log&logNo=220042727462,업체의 홈페이지나 어플을 이용하거나 앞서 설명한 나눔카와 같은 지자체에서 운영하는 카 쉐어링 사이트를 통해 간편하게 전기차를 쉐어링 할 수 있죠 공통된 사용방법은 단계에 걸쳐 간단히 설명할 수 
언제 어디서나 내차처럼 편리하게 - <b>나눔카</b>,https://blog.naver.com/happysongpa?Redirect=Log&logNo=221384762716,바로 나눔카입니다 쏘카 그린카 출처 쏘카 블로그 나눔카는 필요한 시간만큼 분 단위로 이용할 수 있어요ㅇ 나눔카를 이용하면 어떤 점이 좋을까요 개인에겐 서비스 이용 한번이지만 아주 큰 
반(反) 연비주행 부추기는 ‘<b>나눔카</b>’?,https://reporterpark.com/1649,서울시의 승용차 공동이용 서비스 나눔카가 지난 월 일부터 시행됐습니다 나누다와 카를 조합해 만든 단어로 차를 함께 나눠 사용한다는 뜻을 담고 있는 나눔카 서비스는 현재 
자동차, 사지 말고 빌려서 타 볼까? - <b>나눔카</b> 서비스 쏘카SOCAR,https://blog.kumhotire.co.kr/409,나눔카 서비스 쏘카  평소에는 대중교통을 이용하는 것이 가장 빠르고 편리하지만  가끔은 금호타이어 블로그에서는 나눔카 서비스의 모든 것을 알려드립니다   쏘카 블로그 카셰어링 서비스란 
서울시 <b>나눔카</b>( 그린카 ),https://blog.naver.com/fallskya?Redirect=Log&logNo=100183400464, 관련 사이트    오늘 있었던 나눔경제에 관련된 다큐에서 나왔던 내용입니다 그 중에 가장 마음에 들었던 그린카 서울시 나눔카  서울시에서 운영하는 자동차 쉐어링 서비스인데요 
우리동네 <b>나눔카</b> 설명회 개최,https://blog.naver.com/gwangjin_b?Redirect=Log&logNo=220755960327,우리동네 나눔카 차 살 필요 없어요 나눔카는 차량을 소유하지 않아도 언제 어디서나 내 차처럼 편리하게 차량을 이용할 수 있는 서비스를 말하는데요 나눔카 인지도 향상과 이용활성화를 위해 나눔카 
서울시 <b>나눔카</b>와 서울시복지재단이 함께하는 사랑의 김장나눔,https://blog.naver.com/swf1004?Redirect=Log&logNo=221393674759,서울시는 지난 년간 서울시 승용차 공동이용 서비스인 나눔카를 이용한 시민들이 쌓은 적립금 천만천원을 저소득층 어르신의 김장담그기 지원을 위해 서울시복지재단에 전달했습니다 서울시 나눔카 
[은평NEWS] <b>나눔카</b> 배치 신청 안내,https://blog.naver.com/eunpyeonggu?Redirect=Log&logNo=221267252929,나눔카 배치 신청 안내  나눔카승용차 공동이용 서비스란  개인이 차량을 소유하지 않아도 필요 시 내 차처럼 공동이용이 가능한 차량  차량 이용 시간을 사전 예약 후 나눔카 배치 장소에서 차량 이용 
[<b>나눔카</b>X그린카] <b>나눔카</b> 그린 딜리버리 배달원 모집 안내,https://blog.naver.com/greencar_fan?Redirect=Log&logNo=220239692019,우리 그린피플들 감동 또 감동  추운 겨울을 홀로 지내시는 우리 어르신들께 도움이 될 나눔박스를 꾸려 직접 사랑의 배달부가 되어 어르신들 한 분 한 분을 찾아 뵙고 나눠 드릴 예정이에요 
도로 위 <b>나눔카</b> 실시!,https://blog.naver.com/sumwool?Redirect=Log&logNo=221167470079,오늘은 서울시 나눔카에 대해 알려드리려고 합니다 서울시 승용차 공유 서비스 나눔카를 앞으로는 도로에서도 편리하게 이용할 수 있게 됩니다 서울시는 일 서울광장 앞과 시청역 번 출구 앞 등 곳에 
서비스! 서대문 <b>나눔카</b> 위치 및 이용방법, 이용요금 안내!,https://tongblog.sdm.go.kr/4578?category=454113,서대문 나눔카 위치 및 이용방법 이용요금 안내 본문 카쉐어링 서비스 서대문 나눔카 위치 및 이용방법 이용요금 안내 사랑해요 서대문건설과 교통     카쉐어링 서비스 서대문 나눔카 
(버스/지하철/도로상황/주차정보/CCTV정보/<b>나눔카</b> 등),https://blog.naver.com/haechiseoul?Redirect=Log&logNo=221387941012,주차 나눔카 따릉이 교통예보 등 서울 내 다양한 교통정보를위치기반의 정보제공 및 통합검색 등을 서울시 각 도로의 소통정보 버스지하철 등 대중교통과 주차장 나눔카 자전거 정보 등 다양한 
서울시 <b>나눔카</b> 이용중^^,https://blog.naver.com/jylove1052?Redirect=Log&logNo=140194739580,안녕하세요 오늘은 앙쥬가 서울시에서 운영중인 나눔카를 짧게 포스팅 하려합니다ㅋ 우선 나눔카그린카 나눔카는 무인시스템이라서 요카드가 없인 이용불가 요 카드를 차 겉면에있는 요기에 갖다대야 
내차처럼 편리하게, 서울시 <b>나눔카</b>(Car-Sharing) 서비스... ,https://blog.naver.com/digital9ro?Redirect=Log&logNo=221345213574,서울시 나눔카 서비스를 아시나요 나눔카란 필요할 때 가까운 곳에서 차량을 대여할 수 있는 서울형 승용차 공유 서비스로 서울시와 민간사업자가 협력하여 추진하고 있습니다 이러한 승용차 공유 
<b>나눔카</b> 이용 활성화를 위한 「<b>나눔카</b> 주민설명회」 개최,https://blog.naver.com/hopegb?Redirect=Log&logNo=221080273370,이웃님들 나눔카 이용 해보셨나요 나눔카란 차량을 소유하지 않아도 필요할 때 언제 어디에서나 내차처럼 편리하게 차량을 이용할 수 있는 공동이용 가능한 차량을 제공하는 서비스 를 말하며  
[<b>나눔카</b> 카셰어링 쏘카존] GS강서N타워,https://blog.socar.kr/4589,서울시 나눔카 쏘카존 강서타워 강서타워 쏘카존 찾아가기  쏘카존 위치 주소  서울특별시 영등 포구 양평동가   주차장명  강서타워 지하층 기둥 옆  반드시 지하층 구역 지정 
<b>나눔카</b> 이용 실험2,https://blog.naver.com/fass777?Redirect=Log&logNo=140205639431,오늘의 주제는 택시와 나눔카 어느 쪽이 유리한가이다 대중교통을 이용하는 방법도 결과에는 고려하면 나눔카 이용 자체가 무의미 하다 따라서 이 경우에는 필자가 수령자를 반드시 만나서 서류들을 
동대문구 룸쉐어링&amp;<b>나눔카</b>(카쉐어링) 이용안내,https://blog.naver.com/ddm4you?Redirect=Log&logNo=221078727867,동대문구 룸쉐어링나눔카카쉐어링 이용안내 안녕하세요 동대문구에서 구민여러분들의 편의를 공동주택 나눔카서비스카쉐어링  공동주택 나눔카 주차장 사업안내  개인이 차량을 소유하지 
성북마을TV [<b>나눔카</b>-공유경제의 시작, <b>나눔카</b>를 아시나요? 편]... ,https://blog.naver.com/storysb?Redirect=Log&logNo=221344630996,나눔카 카 쉐어링 차량공유서비스 그건 뭔가요 공유경제 마을은 지금을 시청하면 나눔카와 공유경제에 대한 궁금증이 확 해소됩니다 시청방법은 포털사이트 에서 성북마을를 
서울시 승용차 공동이용 <b>나눔카</b> 서비스 홈페이지 이용 안내,https://blog.naver.com/120seoulcall?Redirect=Log&logNo=221366157097, 나눔카 서비스 홈페이지 이용 안내  업체별 회원가입을 한번에 할 수 있는 나눔카 통합 홈페이지    서비스 개시  나눔카 통합 홈페이지    나눔카 통합 
더위도 잊게 만든 따뜻한 사랑 나눔, 서울시 <b>나눔카</b> 기부전달식,https://blog.naver.com/swf1004?Redirect=Log&logNo=221061834608,위한 나눔카 여름나기 기부전달식은 나눔이라는 의미를 다시 알게 했습니다 나눈다는 의미가 단순히 물질적으로 물리적으로 행사되는 것이 아니라 말을 나누면서 마음을 나누고 사랑을 나누는 것이 
[씨티카]친절한 <b>나눔카</b>씨.. 가을나들이도 함께,https://blog.naver.com/suda32?Redirect=Log&logNo=220127223288,씨티카  친절한 나눔카씨 가을나들이도 함께 요즘 하늘을 보면 높고 푸르른 모습이 저절로 얼마전 네이버 라인 이벤트로 나눔카 이벤트를 진행하더라구요 네이버 메인화면에 이벤트 문구를 
그린카 서울시 <b>나눔카</b>와 사랑의 연탄나눔 봉사활동,https://blog.naver.com/greencar_fan?Redirect=Log&logNo=220634506572,연탄나눔 봉사활동과 더불어 그린카에서는 서울시민들이 나눔카를 이용하면서 쌓은 적립금을 사따뜻한 한반도 사랑의 연탄나눔운동에 기부했답니다 추운 날씨 따뜻함이 가득한 소식 어떠셨나요 앞으로도 
[서울시 <b>나눔카</b>] 서울시 승용차 공동이용 브랜드 &quot;<b>나눔카</b>... ,https://blog.naver.com/ianfedu?Redirect=Log&logNo=221028028535,오늘 화제의 검색어  서울시 나눔카  많은 분들이 궁금하실듯해 제가 한번 찾아봤습니다 나눔카란  렌터카와는 다른 카셰어링 그리고 일 단위가 아닌 시간단위로 필요한만큼 
자기차량 손해 면책제도로 <b>나눔카</b>를 더 안전하고 안심하며 탈... ,https://blog.naver.com/haechiseoul?Redirect=Log&logNo=220687342955,나눔카는 간편한 이용방법과 저렴한 이용요금으로 시민들에게 많은 사랑을 받고 있는 승용차 서울시는 시민들의 안전한 운전과 나눔카 교통 사고시 부담을 덜어주기 위해 자기차량 손해 면책제도를 운영 
[<b>나눔카</b>] 12월 16일 안전드라이빙스쿨 교육현장,https://blog.naver.com/greencar_fan?Redirect=Log&logNo=220213716909,서울시청 대회의실에서 나눔카 안전드라이빙 스쿨 행사가 진행되었습니다  안전한 교통문화 확산을 위한 나눔카 안전드라이빙 스쿨은 올바른 운전방법 관련법규 나눔카 안전 이용법 등의 교육으로 자동차 
이제는 차 사지 마세요 - 서울시 <b>나눔카</b> 쏘카 이용기,https://blog.naver.com/digital9ro?Redirect=Log&logNo=100206664380,서울시 나눔카 쏘카 이용기 지난 주 직접 체험한 서울시 나눔카 서비스 쏘카에 대해 알려 드릴께요 그러나 최근까지도 카 쉐어링 서비스는 한 번도 활용해 볼 기회가 없었는데요 마침 집의 차를 와이프도 
<b>나눔카</b>,https://blog.naver.com/gangseokkachi?Redirect=Log&logNo=220717720722,승용차 공동이용 나눔카 서비스를 아시나요 갑자기 차가 대 더 필요할 때 차량 유지비 때문에 고민이 될 때에는 나눔카를 이용해 보세요 분 단위로 필요한 시간만큼 자동차를 이용할 수 있는 
‘집 앞에 <b>나눔카</b>’ 차 살 필요 없겠는데!,https://blog.naver.com/120seoulcall?Redirect=Log&logNo=220723716184,집 앞에 나눔카 차 살 필요 없겠는데 출처  내 손안에 서울 성북구 삼선현대힐스테이트에 배치된 나눔카 전기차량 차가 필요하긴 하지만 유지비 때문에 걱정이라면 서울시 나눔카는 어떨까요 
[<b>나눔카</b> 유카존/서울] 망원역 (성산동),https://blog.naver.com/greensquare_?Redirect=Log&logNo=90190052387,유카존 망원역은 서울시 나눔카 전기차셰어링이 준비되어 있으며 정식명칭은 성산동입니다 유카  빈티지클럽 이라는 매장 앞에 전기차 충전기를 보실 수 있으며 그 앞에 나눔카 전기차셰어링이 
공유문화~카쉐어링! SO CAR <b>나눔카</b> 체험,https://blog.naver.com/yimjayoung?Redirect=Log&logNo=130178799996,나눔카 체험을 해보았습니다 나눔카는 회원등록 후 신뢰를 바탕으로 운영이 되는 시스템인데요 쏘카 그린카 등 여러 곳이 생겨 이용하기 좋게 되어있더군요 현재 회원유치를 위해 할인율이 높은 연회원 
서울시, <b>나눔카</b> 2기 업무체결…그 주인공은?,https://blog.naver.com/120seoulcall?Redirect=Log&logNo=220700822963,서울시 나눔카 기 업무체결그 주인공은 출처  내 손안에 서울 주차장에 배치되어 있는 서울시 나눔카 서울시는 일 나눔카 기 사업 본격 시행의 신호탄으로 기 사업자로 최종선정된 에버온 
<b>나눔카</b> 이용방법 안내 (<b>나눔카</b>, 그린카, 쏘카),https://blog.naver.com/alicegangnam?Redirect=Log&logNo=220463697997,교통혼잡 완화 등을 위한 나눔카 이용방법 안내 운전면허는 있지만 차는 없으신 분들  잠깐 차가 필요한데 렌트하기는 부담으러우신 분들 이젠 그런 걱정은     편리하고 저렴하게 이용가능한 나눔카 
서울시 <b>나눔카</b> 이용안내[공동주택 단지 내 <b>나눔카</b> 사업]... ,https://blog.naver.com/geumcheon1?Redirect=Log&logNo=220487790676,공동주택 단지 내 나눔카 사업 안내 경제성과 편리함을 생각한다면 나눔카를 이용하세요  나눔카란   개인이 차량을 소유하지 않아도 필요시 내차처럼 공동이용이 가능한 차량  아파트 
&quot;2018년도 <b>나눔카</b> 사업 참여 안내&quot;,https://blog.naver.com/gwanak_gu?Redirect=Log&logNo=221318190103,년 월까지  참여절차  업체에서 나눔카 주차장 설치  차량 배치  나눔카 이용  문 의  교통행정과    나눔카 업체  쏘카 그린카  이용차량  일반차 전기차 선택 가능
[<b>나눔카</b>2기사업자모집] 차를... 공유자동차 서비스, <b>나눔카</b> 대여소,https://blog.naver.com/haechiseoul?Redirect=Log&logNo=220638523060,의미의 나눔카 서비스 경제적이면서도 환경을 위하는 기발한 생각인데요 그 자세한 내용을 살펴볼까요 서울시는 차를 원하는 시간과 거리만큼 사용할 수 있는 나눔카 서비스를 운영 중입니다 
서울시, '<b>나눔카</b>' 운영지점을 노상에까지 확대,https://blog.naver.com/welfare365?Redirect=Log&logNo=221167603179,주로 건물 안 부설주차장이나 노외주차장에서 운영되던 서울시 나눔카가 거리로 나와 시민들에게 한층 더 가까이 다가간다 서울시는 나눔카 접근성과 편의성을 더욱 향상하기 위해 운영지점을 노상에까지 
고민하지 말고 서울 <b>나눔카</b>를 이용하자! <b>나눔카</b> 이용방법 안내!,https://blog.naver.com/sdmstory?Redirect=Log&logNo=221051320153,이런 상황들이제 고민하지 말고 나눔카를 이용하세요 쉽고 편하게 자유롭게 이용할 수 있답니다 나눔카는 차량을 소유하지 않아도 언제 어디서나 내 차처럼 저렴한 비용으로 이용할 수 있도록 
<b>나눔카</b> 보험, 어디까지 알고 계세요?,https://blog.naver.com/sms3403?Redirect=Log&logNo=220675291955,나눔카 보험 어디까지 알고 계세요 시민기자 한우진    복사 인쇄 스크랩   알아두면 도움되는 교통상식  나눔카 안전하게 타려면  카셰어링이란 주차장에서 오랜 시간 
[서울시뉴스] ‘<b>나눔카</b> 서비스’ 만 21세, 운전경력 1년... ,https://blog.daum.net/eban02/15964849,공식명칭인 나눔카는 나누다와 카를 조합하여 차를 함께 나누어 사용한다는 의미로 시민 공모로 선정됐다 총 개 주차장 중에 업무중심형 서비스 지역인 구로디지털단지테헤란로를 
공유서울 카셰어링「<b>나눔카</b>」이용해 BoA요~,https://blog.naver.com/ddm4you?Redirect=Log&logNo=150188163965,공유서울 카셰어링 나눔카 이용해 요 나눔카란 급하게 차가 필요할 때 시간 단위로 차를 이용하고 싶을 때 자유롭게 예약하여 이용할 수 있는 차량 렌탈 서비스입니다  최소 분부터 
[내손안에서울]서울시민 100만이 이용한 ‘<b>나눔카</b>’, 난 아직도?,https://blog.naver.com/haechiseoul?Redirect=Log&logNo=220747197588,나눔카 필요할 때 언제든지 내 차처럼 이용할 수 있는 서비스죠 월 일 서울형 승용차공유서비스 나눔카의 회원 수가 만 명을 돌파했습니다 년 월 회원 수 만 명으로 시작한 지 년 개월 만에 
2015년 희망프로젝트 &quot;<b>나눔카</b>&quot; 나눔콘서트,https://blog.naver.com/gokory?Redirect=Log&logNo=220241217001,년 희망프로젝트나눔카 나눔콘서트 사랑의 모금운동 나눔카 나눔콘서트가 월 일수 고령군 중앙공영주차장에서 경상북도 공동모금회 주최 고령군 사랑의 열매 나눔봉사단 주관으로 작은 기부는 
서울시 <b>나눔카</b> 공식지정 '그린카',https://blog.naver.com/greencar_fan?Redirect=Log&logNo=80182788103,서울시 나눔카 공식지정 그린카 원에 빌려 타는 나눔카 안녕하세요 신명나는 드라이브를 즐기는 그린카 블로그 지기 입니다 그린카 공식 블로그의 첫 글을 열게 되었는데요  시작과 함께 월요일 
