 5일 낙찰 계약 동향  2020 2021년 음식물류폐기물 중간수집용기 청결관리 용역 2구역   1차  2020 2021년 행정정보시스템 및 전산장비 통합유지보수 용역  20209년 무인민원발급기 AT 6000  A,계약기관   서울특별시 금천구  계약일자   2019 12 31  계약방법   수의계약  발주처 수요기관       낙찰업체    주 디테코  계약금액   43 109 162 원   계약명   2020년 어린이보호구역 방범CCTV 유지보수 용역  계약기관   
 19일 낙찰 계약 동향  두동초 교사동 청소  2019학년도 세마중 십오통활 프로그램 용역계약  부산진해경제자유구역 북측진입도로 건설사업 소규모 환경영향평가 용역  낙찰 계약 동향,계약기관   서울특별시 금천구  계약일자   2019 12 16  계약방법   수의계약  발주처 수요기관    서울특별시      낙찰업체   드림측량설계공사  계약금액   5 654 400 원   계약명   마을주민 보호구역 정비사업   
 8일 낙찰 계약 동향  마장중 급식실 리모델링공사  군산Wee센터 교실 리모델링 및 기타공사  2019년국립신시도자연휴양림 2차년 조성사업 전기2구역   낙찰 계약 동향,  낙찰업체    주 보성건설  계약금액   8 887 000 원   계약명   2019년 노인보호구역 교통시설물 정비공사       낙찰업체    주 라움그린  계약금액   23 734 000 원   계약명   서울금천초등학교 운동장 맨발걷기길 조성   
 21일 조달청 입찰정보 종합  2020년 소방관서 구내식당 급식자재 김치류  구매 연간 단가계약  생활폐기물 수집 운반 대행용역 마산합포구 마산회원구3구역 외 나라장터 입찰 공고,  입찰명    2020년도 마이홈노인전문요양원 식자재 납품업체 입찰공고 건    계약방법   제한 총액       입찰명    상리초등학교 어린이보호구역 시설물개량사업   계약방법   수의 소액  견적입찰 2인 이상 견적   
 12일 조달청 입찰정보 종합  안동문화관광단지 확장에 따른 교통영향평가 용역  송림1 2동구역 도시계획용역업체 선정을 위한 입찰공고외 나라장터 입찰 공고,  입찰명    2020년 무주노인종합복지관 경로통학버스 임차 설천 무풍    계약방법   제한경쟁  공고기관      입찰명    객사리석당간 및 남산리오층석탑 보호구역 군관리계획결정 변경  용역   계약방법   
 18일 조달청 입찰정보 종합  초록정류장 안내표지 설치공사  경상북도립김천노인전문요양병원 옥상정원 조성공사 조경 외 나라장터 입찰 공고,FINTECHPOST 초록정류장 안내표지 설치공사  경상북도립김천노인전문요양병원 옥상정원 조성공사 조경 외      입찰명    보호구역 출입증 홀로패치 제작 구매 사업 재공고    계약방법   제한 총액   공고기관   
 28일 낙찰 계약 동향  상수도 급수공사 동산면 봉명리 1109  젠펜테크   담양군노인복지타운 세탁실 보수공사  서원고 하늘정원 및 주차장 우수관로 정비  낙찰 계약 동향,  낙찰업체    주 건우  계약금액   8 548 000 원   계약명   노인보호구역 개선사업 장림경로당   계약기관    계약기관   서울특별시 금천구  계약일자   2019 09 23  계약방법   수의계약  발주처 수요기관    서울특별시   
 12일 조달청 입찰정보 종합  무주초 외부창호교체 및 기타시설공사  주택건설공사 감리자 모집 흑석3구역 주택재개발정비사업 외 나라장터 입찰 공고,  입찰명    산림유전자원보호구역 정기 모니터링 연구용역   계약방법   수의 총액 소액 견적입찰 2인      입찰명    금천소방서 건립공사   계약방법   제한경쟁  공고기관   서울특별시  입찰마감일시    2019 10   
대한노인회 서울연합회 어버이날 행사서  어버이 은혜  부른 오세훈 시장,박세구 금천구지회장  황무섭 영등포구지회장  장석기 관악구지회장  황수연 강남구지회장  박동선 고문    처우개선  노인보호구역 확대 등을 강조했다  김 회장은  타 시도연합회와의 균형을 맞추기 위해서라도 낡은   
금천구  5월부터 주정차금지 구역 주차단속 강화,어린이 장애인 노인 보호구역  버스 자전거 전용차로 등이다  주정차 금지구역에 대한 주차단속은 운전자 탑승 여부와 관계없이 즉시 이루어진다  금천구 관계자는  불법 주정차로 인한 교통사고 등을   
 어린이 보행사고 91   보호구역 밖에서대책 필요 , 어린이 보행사고 91   보호구역 밖에서 대책 필요  국민권익위  최근 3년간 어린이 교통사고    서울 금천 시흥대로51길 23지점 3 1 1 1 3 서울 노원 문일목재상 골목길 3 1 2 4 서울 노원 상계 두부마을앞 1   
서울시  노인보호구역 16곳 추가지정,구로노인종합복지관  금천노인종합복지관  동작종합노인복지관  논골노인복지관  송파노인종합복지관 등 총 16곳이다  노인보호구역은 초등학교 주변에 설치된 어린이 보호구역처럼 경로당을 비롯한 노인복지시설   
금천구  올해 불법 주정차 단속 메뉴얼 나왔나, 금천구 불법 주정차 단속 매뉴얼  자료 금천구   GValley   안다정 기자 금천구는 단속 행정의 공정성을    구는 주요간선도로 및 버스운행구간  어린이 노인 보호구역 및 상습 주정차 지역 등은 중점단속구역으로   
 로컬뉴스 서울시  어린이 보호구역 개선 외,앞 노인보호구역 16곳에 차량 속도가 시속 30 를 넘으면 자동으로 적색 신호등이 켜지는  운행속도 감지     02 880 3451 이귀전 기자 금천구  음식문화 특화거리 조성 천구는 올 10월 구청이 신청사로 이전한 뒤 현재 청사   
서울시  노인보행사고지역 개선 후 사고율 46  감소   10곳 추진,금천구 시흥대로 시흥사거리는 역시 노인보행사고가 잇달아  남북방향 시흥대로의 제한속도 50km h 준수를    지난해 노인 보호구역으로 지정됐으며 여전히 사고 발생 위험이 높은 만큼 도심방향 우회전차로에   
서울 금천 광진구  13일부터 교통질서 확립 특별단속,금천경찰서와 합동으로 실시하는 이번 단속은 유흥가 뒷골목  버스정류소  어린이 노인보호구역  횡단보도의 불법주정차 등을 중점 단속하게 된다  시흥대로  독산동길  독산역 등 상습 주 정차지역 6곳은   
금천구 강력한 교통 단속 펼친다,어린이 노인보호구역  횡단보도 불법주정차 에 대하여 금천경찰서와 합동으로 견인 위주의 강력한 단속을 실시한다  또 구민들의 적극적인 참여를 위해 9일 시흥사거리를 비롯 4곳에서 녹색어머니회  모범운전자회   
오세훈의  서울입체도시  밑그림 짤까,어린이보호구역 스쿨존  확대  지역 현안인 철도계획  스마트자율주행 시범단지 등 시의 현 도시교통들에 대한 개략적인 보고가 이뤄질 예정이다  이 자리에선 노인 등 무임수송 손실로 인한 교통공사 재정난 등 지하철   
인사   6월 30일,이혜정  노인장애인과 노인복지팀장 김정원  송탄출장소 본소팀장요원  박은경  송탄출장소 팀장요원     해양보호구역처장 서우락  해양보전본부 국제협력처장 최호정  해양보전본부 해양환경조사연구원   
 올해부터 서울 스쿨존 이면도로 제한속도는 시속 20 입니다 ,이외에도 금천구 시흥초  송파구 잠전초  구로구 성은어린이집  강서구 가양초  은평구 녹번초  중랑구    시간대에는 노인일자리사업으로 횡단보도 안전관리를 하고 있다  시는 내년부터 서울시 어린이보호구역 내에서   
운전자들  X자 횡단보도 답답  불만 사실일까 ,청계3가 4가  금천스타밸리  은평 롯데몰 앞  용산구 이촌건영아파트  마포구 엠팰리스웨딩홀  마포구 홍대클럽 등에 대각선 횡단보도를 개통했다  서울시는 어린이 보호구역 등 보행취약지역  무단횡단사고가 많은 지역   
서울시내 세무서들  동장군 녹인 따뜻한 이웃사랑 실천,다음날인 3일에는 영등포세무서 서장 김학선 가 구립영등포노인종합복지관 독거 어르신을 돕기 위한 명절    권순재 도봉세무서장은 8일 어린이 보호구역 내 교통사고 예방을 위한  어린이 교통안전 챌린지 에도 참여해   
서울 교통사고 사망자 10년새 절반 줄었다,서울 금천구 사당 방향 터널 내 3중 추돌 교통사고가 발생해 소방대원들이 현장을 수습하고 있다     줄었고  노인 보행자 사망사고도 17 9  73명 60명  감소했다  서울의 한 초등학교 앞 어린이보호구역에서   
 마침   민식이법 이 놓친 것들,금천구 1272만 원 분석 기간  불법 주정차 단속 건수가 가장 많았던 서울시 자치구는 서초구다  모두 3만 7천149대 차량에 범칙금과 과태료를 부과했다  스쿨존 같은 교통약자 보호구역의 주정차 위반 범칙금 과태료는   
 2일 조달청 입찰정보 종합  2020년 보령시 시민안전 및 자전거 보험 가입  하동 6호기 탈황설비 Booster Fan 정비용 자재 구매 계약외 나라장터 입찰 공고,공고기관   서울특별시 금천구  입찰마감일시    2020 06 03 10 00   발주처 수요기관    서울특별시 금천구       입찰명    노인보호구역 개선사업      계약방법   수의 소액  견적입찰 2인 이상 견적 제출   공고기관   
 8일 조달청 입찰정보 종합  개나리3차시영임대아파트 발코니새시 교체공사   유리  협력업체 감정평가업체  선정공고외 나라장터 입찰 공고,  입찰명    2020년 어린이보호구역 개선사업   계약방법   수의 소액  견적입찰 2인 이상 견적 제출       입찰명    2020년 춘천남부노인복지관  춘천남부재가노인센터 급식물품 납품업체 선정 공고   계약방법   
 13일 낙찰 계약 동향  이천양정여중 교실 및 운동장 기구 도색공사  2020년 통학로 이면도로 학생중심 속도개편 교통안전시설물 정비공사  돋질로220번길 외 2개소 도로정비공사  낙찰 계약 동향,금천노인종합복지관 노후 승강기 교체 공사 계약을 일반경쟁 방식으로  주 새한엘리베이터      낙찰업체    주 금강종합건설  계약금액   18 344 790 원   계약명   묵정리 경로당 노인보호구역 정비사업  계약기관   
 18일 낙찰 계약 동향  반포면 봉곡1리 미을안길 보수공사  정약용선생묘 잔디식재 공사  욕지면 동항리 입석마을 오수관로 이설공사  낙찰 계약 동향,  낙찰업체   정일건설 주식회사  계약금액   244 765 400 원   계약명   금천 마당마을 진입로 확포장공사       낙찰업체   주식회사 신일도장공사  계약금액   37 126 780 원   계약명   어린이보호구역 내 교통노면표시   
 17일 낙찰 계약 동향  송학3리 배수로 보수공사 생활불편해소   2020년 산지사방 사업 산청 일물지구   갈뫼초 외 28교 예 제초 및 관목전정 공사 2권역   낙찰 계약 동향,  낙찰업체   경동나비엔 금천점  계약금액 낙찰가격    9 385 000 원   계약명   구립독산본동어린이집      낙찰업체   주식회사 재진로드  계약금액   10 406 000 원   계약명   2020년 어린이 보호구역 상동초  신호기   
 19일 낙찰 계약 동향  설악동 B지구 구거 준설공사  운암산 및 한새봉 시설물 보수  지사단지 노후불량 시설물 수선  낙찰 계약 동향,계약기관   서울특별시 금천구  계약일자   2020 05 14  계약방법   수의계약  발주처 수요기관    서울특별시      낙찰업체    유 주은건설  계약금액   43 896 890 원   계약명   2020년 노인보호구역 개선사업  계약기관   
 16일 조달청 입찰정보 종합  2020년 여주시 지능형교통체계 ITS  구축 사업관리 용역  3기 신도시 종합정보포털 구축 용역외 나라장터 입찰 공고, 2020년 상반기 소규모수도시설 사후관리 및 영향조사 용역 2구역      입찰명    2020년 금천구 아동      입찰명    노인보호구역  가조 장기경로당  개선사업   계약방법   수의 소액  견적입찰 2인 이상 견적 제출    
 29일 조달청 입찰정보 종합  색달하수처리장 생물반응조 2단계 개선공사에 따른 관급자재 구입 수질계측기 설비 제작설치  2020년 통영 꼼치 산란서식장 조성사업 효과 및 자원량조사외 나라장터 입찰 공고,  입찰명    가칭 마로현 노인복지센터 치매전담실 리모델링공사 전기    계약방법   지역제한       입찰명    마을주민보호구역 조성사업   계약방법   수의 소액  견적입찰 2인 이상 견적 제출   공고기관   
 15일 낙찰 계약 동향  평2리 동막골 파고라 설치공사 실시설계용역  2021년 생활폐기물 수집운반 대행료 등 원가산정 용역  지석천스마트하천관리시스템구축사업실시설계용역  낙찰 계약 동향,  낙찰업체   신가승ENG  계약금액   9 250 000 원   계약명   어린이보호구역 교통신호기 설치공사 실시설계      낙찰 입찰 업체    주 우진산업  계약금액   6 930 000 원   계약명   금천리 금구  취입보 등 2개소   
 2일 조달청 입찰정보 종합  팽나무공원 조성사업 조경공사  용마루공원 주차장 조성사업외 나라장터 입찰 공고,공고기관   서울특별시 금천구  입찰마감일시    2020 05 08 10 00   발주처 수요기관    서울특별시 금천구     치매전담형 노인요양시설 우수처리시설 정비공사     입찰명    도남초교 외 12개소 어린이보호구역   
 10일 조달청 입찰정보 종합  평창읍 남부권 지방상수도 안정화사업 관급자재 조립식철근콘크리트암거블록 구입  월호소하천 정비사업외 나라장터 입찰 공고,공고기관   서울특별시 금천구  입찰마감일시    2020 05 14 10 00   발주처 수요기관    서울특별시 금천구       입찰명    2020년 어린이보호구역 개선사업 실시설계용역 소액수의 견적제출 안내공고   계약방법   수의   
 10일 낙찰 계약 동향  항내 어선화재 및 도난방지 예방 보안카메라 설치공사  2020년 남부지역 도로포장 보수공사  교사동 계단 논슬립 교체 공사  낙찰 계약 동향,  낙찰 입찰 업체    주 명인이앤씨  계약금액   21 043 000 원   계약명   금천고 LED조명교체 공사  계약기관      낙찰업체   주식회사 천지인  계약금액   9 100 000 원   계약명   옥암동 부영초등학교 어린이보호구역   
 2일 낙찰 계약 동향  김삿갓묘역 탐방안내소 설치공사  공원녹지대 경관개선공사  공주정보고 기술가정실습실 리모델링 전기공사  낙찰 계약 동향,어린이보호구역 정비공사  계약기관   광주광역시 남구  계약일자   2020 04 29  계약방법   수의계약      낙찰업체   주식회사 세영이엔지  계약금액   2 778 400 원   계약명   노인 보행자 교통사고 다발지역   
 17일 조달청 입찰정보 종합  2020년 부여군 하수도 준설공사 1차   중앙도서관 식당개수 및 기타공사 감리 용역외 나라장터 입찰 공고,공고기관   서울특별시 금천구  입찰마감일시    2020 05 20 10 00   발주처 수요기관    서울특별시 금천구      2020년 어린이보호구역 개선사업 마전초      입찰명    노인요양시설 확충사업 전기공사 심청골   
 11일 낙찰 계약 동향  00부대 유휴시설철거 설계용역 2개부대   팔충2리 배수로 정비공사  사평면 석복마을 공동이용시설 설치공사 전기   낙찰 계약 동향,  낙찰업체   주식회사 도현산업  계약금액   7 970 000 원   계약명   삼랑진초등학교 어린이보호구역 외      낙찰업체   주식회사 금천이엔씨  계약금액   1 126 000 원   계약명   면사무소 남자화장실 대걸레 청소대   
 22일 조달청 입찰정보 종합  월성원자력본부 읍천사택 휘트니스센터 신축공사 건설폐기물처리 용역  차탄제 보행환경 개선 가로등 설치공사외 나라장터 입찰 공고,  입찰명    마을주민 보호구역 조성공사   계약방법   수의 소액  견적입찰 2인 이상 견적 제출       입찰명    금천초 본관 내진보강공사 입찰공고   계약방법   제한경쟁  공고기관   충청북도교육청   
 3일 조달청 입찰정보 종합  안전모외20종판교OH안전장구  대호대교  선우대교 정밀안전점검 및 내진성능평가 용역외 나라장터 입찰 공고,  입찰명    노인보호구역 개선사업 방동경로회관    계약방법   수의 소액   공고기관   경상북도      입찰명    금천복개도로 보수보강공사   계약방법   제한경쟁  공고기관   충청북도 청주시 상당구   
 24일 조달청 입찰정보 종합  방호시설 보강공사  2020년 원어민 원격 화상영어 교육지원외 나라장터 입찰 공고,  입찰명    금천노인종합복지관 노후 승강기 교체 공사   계약방법   일반경쟁  공고기관      입찰명    2020년 어린이보호구역 유지관리사업   계약방법   수의 소액  견적입찰 2인 이상 견적 제출   공고기관   
 23일 낙찰 계약 동향  2020년 사옥 미술장식품 임차  해외사업 비즈니스모델 개발 용역  2019년 재개발임대주택 일반공급 계약업무 관련 파견근로자 계약  낙찰 계약 동향,  낙찰 입찰 업체    주 케이비손해보험  계약금액   448 208 720 원   계약명   2020년 금천구 직원 맞춤형      낙찰업체   창일엔지니어링 주식회사  계약금액   5 400 000 원   계약명   2020년 노인보호구역 개선사업   
 25일 낙찰 계약 동향  은행리 407  세천 제방 보수공사  2020년 춘계 주산지소 수문 보수공사  보건실 세면장 바닥 방수 및 타일 교체 공사  낙찰 계약 동향,  낙찰업체   우림건설  계약금액   15 643 000 원   계약명   어린이보호구역 환경정비공사  계약기관      낙찰업체   주식회사동원시스템  계약금액   1 140 000 원   계약명   북부노인복지관 CCTV 설치공사  계약기관   
 28일 낙찰 계약 동향   20학년도  위험물저장소 가스저장소  증축 및 실험실 환경개선 추가공사  신설급수공사 현암동 552 12 외 1필지  김승기   2020년 소규모 급수가압시설 설치공사 토목  기계   낙,  낙찰업체   주식회사 유림조경개발  계약금액   18 450 000 원   계약명   대사 금천 진입도로 선형      낙찰업체   주식회사 영동기업  계약금액   18 883 000 원   계약명   2020년 보호구역 유지보수 단가공사 제주시    
 13일 조달청 입찰정보 종합  중부권통합의학센터 건립공사 건축  관급자재 구매 경질단열우레탄   유가 쌍계2리 328번지선  농로 확포장공사외 나라장터 입찰 공고,  입찰명    금천노인종합복지관 노후 승강기 교체 공사   계약방법   일반경쟁  공고기관      입찰명    신장2리 노인보호구역 개선사업   계약방법   수의 소액  견적입찰 2인 이상 견적 제출   공고기관   
 24일 낙찰 계약 동향  지향초 본관동 화장실 개선공사 설계용역  구례군 지방상수도 현대화사업 성과달성을 위한 누수탐사 용역  산청군 지방상수도 현대화사업 성과달성을 위한 누수탐사 용역  낙찰 계약 동향,  낙찰 입찰 업체   동남환경건설 주   계약금액   4 900 000 원   계약명   2020년 율어 금천 석천천      낙찰업체   우성엔지니어링 주식회사  계약금액   1 700 000 원   계약명   해양보호구역 관리보조 해수저장조 설치    
 7일 조달청 입찰정보 종합  화개산 전망대 조성사업 건축  토목  기계  전체분  1차분   2020년 국제 지식재산 나눔사업 부탄 브랜드 개발 및 비즈니스 전략 구축 용역외 나라장터 입찰 공고,  입찰명    의성군 노인복지관분관 증축공사 건축 기계    계약방법   지역제한  공고기관   경상북도      입찰명    2020년 어린이보호구역 차선도색 개선공사   계약방법   수의 소액   공고기관   경상북도   
 16일 낙찰 계약 동향  회현지하상가 6번출구  승강설비 보수공사  읍면시도 2호선 7번국도 사천진리  도로정비공사  파주우체국 집배실 및 사무실 재배치 소방 공사  낙찰 계약 동향,  낙찰업체   미주건설 주식회사  계약금액   103 498 000 원   계약명   대평마을 노인보호구역 개선사업       낙찰업체   서림건설주식회사  계약금액   174 733 000 원   계약명   국지도 49호선 나주 금천육교 등 2개소   
 13일 낙찰 계약 동향  가로수 결식지 보식사업  2020년 한발대비 대형관정 설치공사 유사2리  신촌리   2020년 충청북도 충주시 슬레이트 해체 처리 공사 1권역  낙찰 계약 동향,  낙찰업체   수상개발 주   계약금액   317 301 700 원   계약명   금천구 시흥5동 복합청사 건립      낙찰업체    주 내토이엔씨  계약금액   42 848 980 원   계약명   의림초등학교 일원 어린이보호구역 정비사업    
 20일 낙찰 계약 동향  백마 법곳지하차도 통합감시제어시스템 개선사업  법환초 냉난방시설 개선 전기공사  한방자연휴양림 가로등 설치 및 등기구 교체공사  낙찰 계약 동향,  낙찰업체   주식회사서우전기  계약금액   22 563 480 원   계약명   금천가압장 수배전반 교체공사       낙찰업체   보광건설 주   계약금액   155 046 890 원   계약명   어린이보호구역 개선사업 옥산초등학교 등   
 30일 조달청 입찰정보 종합  운행선 차단시간내 급속 분기선로 시공시 선로선형 및 시설물 관련규정 인터페이스 검토  정산중 본관 수선 및 기타공사외 나라장터 입찰 공고,  입찰명    화재안전 시설개선 지원사업 입찰대행 에이플러스홈 노인의료복지시설    계약방법      입찰명    어린이보호구역 노란신호등 설치공사   계약방법   수의 소액   공고기관   전라남도 광양시   
 29일 조달청 입찰정보 종합  문흥육교 등 6개소 정밀안전점검 및 내진성능평가용역   가격입찰 후 PQ심사   신 사문진교 정밀안전진단 용역외 나라장터 입찰 공고,  입찰명    화재안전 시설개선 지원사업 입찰대행 우리사랑 노인요양시설    계약방법   수의 소액       입찰명    어린이보호구역내 신호기 설치공사 신영초등학교 외 4개교    계약방법   수의 소액   공고기관   
 12일 낙찰 계약 동향  보령 농산물종합가공 지원센터 신축공사 소방전기   숭인119안전센터 하수도 배관 보수 공사  부적면 신교리 배수관 보수공사  낙찰 계약 동향,3개소 노인보호구역 개선공사     낙찰업체   동서전기건설공사 주식회사  계약금액   7 240 000 원   계약명   코로나 10 예방 선별진료소 운영을 위한 보건소 2층  전력간선 설치공사  계약기관   서울특별시 금천구   
 4일 낙찰 계약 동향  광역알뜰교통카드 수요조사 분석  평가원 국소배기장치 개선 공사 실시설계 용역  사업용 자동차 지도단속 차량 보험  51조6593   낙찰 계약 동향,  낙찰업체    주 북큐브네트웍스  계약금액   4 900 000 원   계약명   금천구립도서관 인문학 온라인 강좌      낙찰업체    주  주현이앤씨  계약금액   9 600 000 원   계약명   2020년 노인보호구역 지정 사업 설계용역    
 3일 낙찰 계약 동향  2020학년도 e알리미 서비스 이용 계약  강진정수장 정밀안전점검 및 내진성능평가 용역  개단도로 확포장공사 폐기물처리용역  낙찰 계약 동향,  낙찰업체   주식회사지성엔지니어링  계약금액   14 800 000 원   계약명   2020년 노인보호구역 개선사업    계약기관   서울특별시금천구시설관리공단  계약일자   2020 03 31  계약방법   수의계약  발주처 수요기관    
 14일 조달청 입찰정보 종합  2020년 친환경농업기반구축지원사업 입찰공고 협상에 의한 계약방식  부여군 수질오염총량관리 시행계획 제4단계 및 제3단계 추가 수립 연구용역외 나라장터 입찰 공고,  입찰명    지방하천 오금천  하도정비사업   계약방법   수의 소액  견적입찰 2인 이상 견적 제출       입찰명    2020년 어린이 보호구역 개선사업 황색신호등 설치  공사   계약방법   수의 소액   공고기관   
 21일 조달청 입찰정보 종합  동작구민체육센터 다목적실 체육관 탈의실 무장애화 시설공사  2020년 전화마을방송단말기 구입설치 긴급 외 나라장터 입찰 공고,  입찰명    강릉시 보호구역 어린이  노인  GIS DB 구축용역   계약방법   수의 총액 소액 견적입찰 2인    공고기관   서울특별시 금천구  입찰마감일시    2020 04 24 15 00   발주처 수요기관    서울특별시 금천구    
 2일 낙찰 계약 동향  2020년 공원녹지과 안전관리업무 위탁 용역  2020년 백두대간 등산로 정비사업 시공감리 용역 1지구   학돌초등학교 제3종시설물 정기안전점검 용역  낙찰 계약 동향,  낙찰업체   주식회사울진산업  계약금액   6 880 000 원   계약명   군도6호선 온정면 금천리 590 3       낙찰업체   삼원환경 주식회사  계약금액   28 225 000 원   계약명   율목초 외 4개소 어린이보호구역 개선사업   
 31일 낙찰 계약 동향  구청사 직원식당 배식대 확장공사 건축   고양관산초 정문 자바라 설치공사 계약  구명역 화장실 개량에 따른 통신공사  낙찰 계약 동향,  낙찰업체   주식회사 태양건설  계약금액   66 155 000 원   계약명   노인보호구역 개선사업  계약기관      낙찰업체   대동건설 주   계약금액   86 977 480 원   계약명   금천동 산성로 일원 도로정비공사  계약기관   
