"관리번호","자치구","와이파이명","도로명주소","상세주소","설치위치(층)","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","wifi접속환경","X좌표","Y좌표","작업일자"
"ARI00020","서대문구","상수도사업본부","서대문구 서소문로 51","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00021","서대문구","상수도사업본부","서대문구 서소문로 51","본관 5F","5","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00022","서대문구","상수도사업본부","서대문구 서소문로 51","본관 5F","5","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00023","서대문구","상수도사업본부","서대문구 서소문로 51","본관 5F","5","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00024","서대문구","상수도사업본부","서대문구 서소문로 51","본관 5F","5","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00025","서대문구","상수도사업본부","서대문구 서소문로 51","본관 5F","5","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00026","서대문구","상수도사업본부","서대문구 서소문로 51","본관 6F","6","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00027","서대문구","상수도사업본부","서대문구 서소문로 51","별관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00028","서대문구","상수도사업본부","서대문구 서소문로 51","별관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00029","서대문구","상수도사업본부","서대문구 서소문로 51","별관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00030","서대문구","상수도사업본부","서대문구 서소문로 51","별관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00031","서대문구","상수도사업본부","서대문구 서소문로 51","별관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00032","서대문구","상수도사업본부","서대문구 서소문로 51","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00033","서대문구","상수도사업본부","서대문구 서소문로 51","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00034","서대문구","상수도사업본부","서대문구 서소문로 51","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00035","서대문구","상수도사업본부","서대문구 서소문로 51","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00036","중구","중부수도사업소","중구 장충단로 88","본관 B1F","B1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00037","중구","중부수도사업소","중구 장충단로 88","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00038","중구","중부수도사업소","중구 장충단로 88","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00039","중구","중부수도사업소","중구 장충단로 88","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00040","중구","중부수도사업소","중구 장충단로 88","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00041","중구","중부수도사업소","중구 장충단로 88","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00042","중구","중부수도사업소","중구 장충단로 88","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00043","중구","중부수도사업소","중구 장충단로 88","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00044","중구","중부수도사업소","중구 장충단로 88","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00045","중구","중부수도사업소","중구 장충단로 88","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00046","중구","중부수도사업소","중구 장충단로 88","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00047","중구","중부수도사업소","중구 장충단로 88","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00048","중구","중부수도사업소","중구 장충단로 88","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00049","중구","중부수도사업소","중구 장충단로 88","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00050","중구","중부수도사업소","중구 장충단로 88","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00051","중구","중부수도사업소","중구 장충단로 88","별관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00052","중구","중부수도사업소","중구 장충단로 88","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00053","중구","중부수도사업소","중구 장충단로 88","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00054","중구","중부수도사업소","중구 장충단로 88","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.0031","37.553608","2021-09-06 10:57:42.0"
"ARI00055","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00056","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00057","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00058","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00059","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00060","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00061","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00062","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00063","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00064","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00065","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00066","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00067","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 5F","5","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00068","서대문구","서부수도사업소","서대문구 통일로26길 41","본관 5F","5","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00069","서대문구","서부수도사업소","서대문구 통일로26길 41","별관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00070","서대문구","서부수도사업소","서대문구 통일로26길 41","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00071","서대문구","서부수도사업소","서대문구 통일로26길 41","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00072","서대문구","서부수도사업소","서대문구 통일로26길 41","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","126.952415","37.583054","2021-09-06 10:57:42.0"
"ARI00073","성동구","동부수도사업소","성동구 고산자로10길 13","본관 B1F","B1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00074","성동구","동부수도사업소","성동구 고산자로10길 13","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00075","성동구","동부수도사업소","성동구 고산자로10길 13","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00076","성동구","동부수도사업소","성동구 고산자로10길 13","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00077","성동구","동부수도사업소","성동구 고산자로10길 13","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00078","성동구","동부수도사업소","성동구 고산자로10길 13","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00079","성동구","동부수도사업소","성동구 고산자로10길 13","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00080","성동구","동부수도사업소","성동구 고산자로10길 13","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00081","성동구","동부수도사업소","성동구 고산자로10길 13","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00082","성동구","동부수도사업소","성동구 고산자로10길 13","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00083","성동구","동부수도사업소","성동구 고산자로10길 13","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00084","성동구","동부수도사업소","성동구 고산자로10길 13","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00085","성동구","동부수도사업소","성동구 고산자로10길 13","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00086","성동구","동부수도사업소","성동구 고산자로10길 13","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00087","성동구","동부수도사업소","성동구 고산자로10길 13","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00088","성동구","동부수도사업소","성동구 고산자로10길 13","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00089","성동구","동부수도사업소","성동구 고산자로10길 13","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.03539","37.55928","2021-09-06 10:57:42.0"
"ARI00090","강북구","북부수도사업소","강북구 한천로 935","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00091","강북구","북부수도사업소","강북구 한천로 935","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00092","강북구","북부수도사업소","강북구 한천로 935","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00093","강북구","북부수도사업소","강북구 한천로 935","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00094","강북구","북부수도사업소","강북구 한천로 935","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00095","강북구","북부수도사업소","강북구 한천로 935","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00096","강북구","북부수도사업소","강북구 한천로 935","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00097","강북구","북부수도사업소","강북구 한천로 935","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00098","강북구","북부수도사업소","강북구 한천로 935","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00099","강북구","북부수도사업소","강북구 한천로 935","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00100","강북구","북부수도사업소","강북구 한천로 935","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00101","강북구","북부수도사업소","강북구 한천로 935","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00102","강북구","북부수도사업소","강북구 한천로 935","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00103","강북구","북부수도사업소","강북구 한천로 935","별관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00104","강북구","북부수도사업소","강북구 한천로 935","본관 B1","B1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00105","강북구","북부수도사업소","강북구 한천로 935","본관 B1","B1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00106","강북구","북부수도사업소","강북구 한천로 935","본관 B1","B1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00107","강북구","북부수도사업소","강북구 한천로 935","본관 B1","B1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00108","강북구","북부수도사업소","강북구 한천로 935","본관 B1","B1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","127.036125","37.634155","2021-09-06 10:57:42.0"
"ARI00109","양천구","강서수도사업소","양천구 목동동로 151","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00110","양천구","강서수도사업소","양천구 목동동로 151","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00111","양천구","강서수도사업소","양천구 목동동로 151","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00112","양천구","강서수도사업소","양천구 목동동로 151","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00113","양천구","강서수도사업소","양천구 목동동로 151","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00114","양천구","강서수도사업소","양천구 목동동로 151","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00115","양천구","강서수도사업소","양천구 목동동로 151","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00116","양천구","강서수도사업소","양천구 목동동로 151","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00117","양천구","강서수도사업소","양천구 목동동로 151","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00118","양천구","강서수도사업소","양천구 목동동로 151","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00119","양천구","강서수도사업소","양천구 목동동로 151","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00120","양천구","강서수도사업소","양천구 목동동로 151","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00121","양천구","강서수도사업소","양천구 목동동로 151","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
"ARI00122","양천구","강서수도사업소","양천구 목동동로 151","본관","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2019","실내","","126.86976","37.519573","2021-09-06 10:57:42.0"
